Vendor,Hex value,To hex
SEIKO EPSON,69736d70,
ICC,6b545243,
Konica Minolta,6b633031,6b633130
Konica Minolta,6b6d3031,6b6d3130
Sun Microsystems,6c696173,
Sun Microsystems,6c746167,
ICC,6c756d69,
Kodak,6c766d64,
SEIKO EPSON,6d646561,
ICC,6d656173,
Heidelberger Druckmaschinen AG,6d65636e,
Heidelberger Druckmaschinen AG,6d656464,
Heidelberger Druckmaschinen AG,6d656474,
Heidelberger Druckmaschinen AG,6d656f70,
Apple Computer,6d6d6f64,
Apple Computer,6e616d65,
ICC,6e636c32,
ICC,6e636f6c,
Apple Computer,6e637069,
Apple Computer,6e64696e,
Sun Microsystems,6e746167,
FFEI Limited,6f707266,
SEIKO EPSON,70613262,
SEIKO EPSON,70623261,
SEIKO EPSON,70646972,
Sun Microsystems,706c6179,
Polkadots Software Inc.,706b6430,706b6439
Polkadots Software Inc.,706b6461,706b647a
Heidelberger Druckmaschinen AG,706c6d64,
Heidelberger Druckmaschinen AG,706c6d74,
ICC,70726530,
ICC,70726531,
ICC,70726532,
Heidelberger Druckmaschinen AG,70727364,
Heidelberger Druckmaschinen AG,70727374,
ICC,70733269,
ICC,70733273,
ICC,70736430,
ICC,70736431,
ICC,70736432,
ICC,70736433,
ICC,70736571,
ICC,70736964,
Apple Computer,7073766d,
ICC,72545243,
ICC,7258595a,
SEIKO EPSON,7265736f,
ICC,72657370,
ICC,72696730,
ICC,72696732,
ICC,73637264,
ICC,7363726e,
Sun Microsystems,73663634,
Sun Microsystems,73693038,
Sun Microsystems,73693136,
Sun Microsystems,73693332,
SEIKO EPSON,73747970,
Tektronix,744b0000,744b00ff
Heidelberger Druckmaschinen AG,74616374,
ICC,74617267,
ICC,74656368,
Tektronix,746b0000,746b00ff
Typemaker Ltd.,746d6b72,
Kodak,746e616d,
Kodak,74707274,
Apple Computer,74726320,
Canon,75634730,75634733
Canon,7563644d,
Canon,75636d46,
Canon,75636d49,
Canon,75636d4d,
